gene_symbol,log2FC,pvalue,padj
Ptprj,0.9149999999999991,0.0007456788950987514,0.046874007893135325
Irak3,2.365000000000002,0.0007545233402709394,0.046874007893135325
Atm,-1.5,0.0007547003361344836,0.046874007893135325
Nrp1,1.0599999999999987,0.0007556396234083476,0.046874007893135325
Fas,2.62,0.0007566719165041583,0.046874007893135325
Pou2f2,1.2800000000000011,0.0007620674469540516,0.04695111129495118
Pmm2,0.35999999999999943,0.0007707130239359147,0.04695111129495118
Abhd12,-1.1300000000000008,0.000782227904435192,0.04695111129495118
Mob3a,1.5250000000000012,0.0007838127784710344,0.04695111129495118
Prss16,0.7349999999999994,0.0007857820899585745,0.04695111129495118
Cd8b,-1.4350000000000005,0.0007881989668461258,0.04695111129495118
Leprotl1,-0.25,0.0007990412782105426,0.04695111129495118
Nnat,-0.3949999999999996,0.0008001921742346582,0.04695111129495118
Matr3,-0.3500000000000014,0.0008153283051429172,0.04695111129495118
Timm17a,0.1750000000000007,0.0008153283051429172,0.04695111129495118
Ppid,-0.1750000000000007,0.0008153283051429172,0.04695111129495118
Zdhhc3,0.1750000000000007,0.0008153283051429172,0.04695111129495118
Tprkb,-0.17499999999999982,0.0008153283051429254,0.04695111129495118
Gca,1.825000000000001,0.0008171620357356867,0.04695111129495118
Ptges,3.639999999999999,0.0008216525646816769,0.04695111129495118
Rtp4,1.4050000000000011,0.0008221761226065398,0.04695111129495118
Psen1,0.5500000000000007,0.0008254231699555372,0.04695111129495118
Atp6v0a1,-0.4900000000000002,0.0008319468994225988,0.04695111129495118
P2ry2,1.6400000000000015,0.0008355073451591198,0.04695111129495118
Exo5,0.7700000000000005,0.0008422472647349327,0.04695111129495118
Adar,0.7699999999999996,0.0008422472647349647,0.04695111129495118
Fgr,2.0150000000000006,0.0008424834459420986,0.04695111129495118
Fcgr2b,2.240000000000001,0.0008459438513665229,0.04695111129495118
Jag1,2.380000000000001,0.0008551267283491743,0.04695111129495118
Ifi30,-0.5399999999999991,0.0008562378485865874,0.04695111129495118
